ISO_Code,Year,RGDP Per Capita Lag
NIC,2015-01-01,4524.0
NER,2015-01-01,893.0
NGA,2015-01-01,5531.0
NOR,2015-01-01,75846.0
OMN,2015-01-01,37748.0
PAK,2015-01-01,4876.0
PAN,2015-01-01,19937.0
PNG,2015-01-01,
PRY,2015-01-01,8210.0
PER,2015-01-01,10961.0
PHL,2015-01-01,6592.0
POL,2015-01-01,24356.0
PRT,2015-01-01,26717.0
QAT,2015-01-01,138683.0
ROU,2015-01-01,19693.0
RUS,2015-01-01,23798.0
RWA,2015-01-01,1599.0
SAU,2015-01-01,46824.0
SEN,2015-01-01,2354.0
SRB,2015-01-01,13387.0
SYC,2015-01-01,22640.0
SLE,2015-01-01,1326.0
SGP,2015-01-01,67105.0
SVK,2015-01-01,24964.0
SVN,2015-01-01,27462.0
ZAF,2015-01-01,12050.0
ESP,2015-01-01,32300.0
LKA,2015-01-01,10313.0
SDN,2015-01-01,3626.0
SUR,2015-01-01,
SWZ,2015-01-01,7685.0
SWE,2015-01-01,42202.0
CHE,2015-01-01,61661.0
SYR,2015-01-01,4069.0
TWN,2015-01-01,41609.0
TJK,2015-01-01,3226.0
TZA,2015-01-01,2335.0
THA,2015-01-01,13587.0
TLS,2015-01-01,
TGO,2015-01-01,1443.0
TTO,2015-01-01,31032.0
TUN,2015-01-01,10588.0
TUR,2015-01-01,20222.0
UGA,2015-01-01,1853.0
UKR,2015-01-01,10331.0
ARE,2015-01-01,67250.0
GBR,2015-01-01,38220.0
USA,2015-01-01,51664.0
URY,2015-01-01,19582.0
VEN,2015-01-01,17568.0
VNM,2015-01-01,5427.0
YEM,2015-01-01,3558.0
ZMB,2015-01-01,3537.0
ZWE,2015-01-01,1797.0
ALB,2014-01-01,10138.0
DZA,2014-01-01,12998.0
AGO,2014-01-01,8612.0
ARG,2014-01-01,19876.0
ARM,2014-01-01,9006.0
AUS,2014-01-01,44042.0
AUT,2014-01-01,43175.0
AZE,2014-01-01,15841.0
BHS,2014-01-01,
BHR,2014-01-01,39530.0
BGD,2014-01-01,2806.0
BRB,2014-01-01,9577.0
BLR,2014-01-01,19536.0
BEL,2014-01-01,39398.0
BLZ,2014-01-01,
BEN,2014-01-01,1962.0
BTN,2014-01-01,
BOL,2014-01-01,5823.0
BIH,2014-01-01,9689.0
BWA,2014-01-01,13198.0
BRA,2014-01-01,14943.0
BRN,2014-01-01,
BGR,2014-01-01,15911.0
BFA,2014-01-01,1452.0
BDI,2014-01-01,763.0
KHM,2014-01-01,2942.0
CMR,2014-01-01,2592.0
CAN,2014-01-01,41816.0
CPV,2014-01-01,5625.0
CAF,2014-01-01,581.0
TCD,2014-01-01,1958.0
CHL,2014-01-01,20781.0
CHN,2014-01-01,11088.0
COL,2014-01-01,12293.0
COD,2014-01-01,751.0
COG,2014-01-01,5156.0
CRI,2014-01-01,12301.0
CIV,2014-01-01,3102.0
HRV,2014-01-01,20130.0
CYP,2014-01-01,25699.0
CZE,2014-01-01,27678.0
