ISO_Code,Year,North America
BEL,2013-01-01,0
BLZ,2013-01-01,1
BEN,2013-01-01,0
BTN,2013-01-01,0
BOL,2013-01-01,0
BIH,2013-01-01,0
BWA,2013-01-01,0
BRA,2013-01-01,0
BRN,2013-01-01,0
BGR,2013-01-01,0
BFA,2013-01-01,0
BDI,2013-01-01,0
KHM,2013-01-01,0
CMR,2013-01-01,0
CAN,2013-01-01,1
CPV,2013-01-01,0
CAF,2013-01-01,0
TCD,2013-01-01,0
CHL,2013-01-01,0
CHN,2013-01-01,0
COL,2013-01-01,0
COD,2013-01-01,0
COG,2013-01-01,0
CRI,2013-01-01,1
CIV,2013-01-01,0
HRV,2013-01-01,0
CYP,2013-01-01,0
CZE,2013-01-01,0
DNK,2013-01-01,0
DOM,2013-01-01,1
ECU,2013-01-01,0
EGY,2013-01-01,0
SLV,2013-01-01,1
EST,2013-01-01,0
ETH,2013-01-01,0
FJI,2013-01-01,0
FIN,2013-01-01,0
FRA,2013-01-01,0
GAB,2013-01-01,0
GMB,2013-01-01,0
GEO,2013-01-01,0
DEU,2013-01-01,0
GHA,2013-01-01,0
GRC,2013-01-01,0
GTM,2013-01-01,1
GIN,2013-01-01,0
GNB,2013-01-01,0
GUY,2013-01-01,0
HTI,2013-01-01,1
HND,2013-01-01,1
HKG,2013-01-01,0
HUN,2013-01-01,0
ISL,2013-01-01,0
IND,2013-01-01,0
IDN,2013-01-01,0
IRN,2013-01-01,0
IRQ,2013-01-01,0
IRL,2013-01-01,0
ISR,2013-01-01,0
ITA,2013-01-01,0
JAM,2013-01-01,1
JPN,2013-01-01,0
JOR,2013-01-01,0
KAZ,2013-01-01,0
KEN,2013-01-01,0
KOR,2013-01-01,0
KWT,2013-01-01,0
KGZ,2013-01-01,0
LAO,2013-01-01,0
LVA,2013-01-01,0
LBN,2013-01-01,0
LSO,2013-01-01,0
LBR,2013-01-01,0
LBY,2013-01-01,0
LTU,2013-01-01,0
LUX,2013-01-01,0
MKD,2013-01-01,0
MDG,2013-01-01,0
MWI,2013-01-01,0
MYS,2013-01-01,0
MLI,2013-01-01,0
MLT,2013-01-01,0
MRT,2013-01-01,0
MUS,2013-01-01,0
MEX,2013-01-01,1
MDA,2013-01-01,0
MNG,2013-01-01,0
MNE,2013-01-01,0
MAR,2013-01-01,0
MOZ,2013-01-01,0
MMR,2013-01-01,0
NAM,2013-01-01,0
NPL,2013-01-01,0
NLD,2013-01-01,0
NZL,2013-01-01,0
NIC,2013-01-01,1
NER,2013-01-01,0
NGA,2013-01-01,0
NOR,2013-01-01,0
OMN,2013-01-01,0
PAK,2013-01-01,0
PAN,2013-01-01,1
PNG,2013-01-01,0
PRY,2013-01-01,0
PER,2013-01-01,0
PHL,2013-01-01,0
POL,2013-01-01,0
PRT,2013-01-01,0
QAT,2013-01-01,0
ROU,2013-01-01,0
RUS,2013-01-01,0
RWA,2013-01-01,0
SAU,2013-01-01,0
SEN,2013-01-01,0
SRB,2013-01-01,0
SYC,2013-01-01,0
SLE,2013-01-01,0
SGP,2013-01-01,0
SVK,2013-01-01,0
SVN,2013-01-01,0
ZAF,2013-01-01,0
ESP,2013-01-01,0
LKA,2013-01-01,0
SDN,2013-01-01,0
SUR,2013-01-01,0
SWZ,2013-01-01,0
SWE,2013-01-01,0
CHE,2013-01-01,0
SYR,2013-01-01,0
TWN,2013-01-01,0
TJK,2013-01-01,0
TZA,2013-01-01,0
THA,2013-01-01,0
TLS,2013-01-01,0
TGO,2013-01-01,0
TTO,2013-01-01,1
TUN,2013-01-01,0
TUR,2013-01-01,0
UGA,2013-01-01,0
UKR,2013-01-01,0
ARE,2013-01-01,0
GBR,2013-01-01,0
USA,2013-01-01,1
URY,2013-01-01,0
VEN,2013-01-01,0
VNM,2013-01-01,0
YEM,2013-01-01,0
ZMB,2013-01-01,0
ZWE,2013-01-01,0
ALB,2012-01-01,0
DZA,2012-01-01,0
AGO,2012-01-01,0
ARG,2012-01-01,0
ARM,2012-01-01,0
AUS,2012-01-01,0
AUT,2012-01-01,0
AZE,2012-01-01,0
BHS,2012-01-01,1
BHR,2012-01-01,0
BGD,2012-01-01,0
BRB,2012-01-01,1
BLR,2012-01-01,0
BEL,2012-01-01,0
