ISO_Code_3,Year,Summary,Size of Government,Legal System and Property Rights,Sound Money,Freedom to Trade Internationally,Regulation
MUS,2002,7.22903061721032,7.309516036515845,4.889871682464187,9.485454144194769,7.017636374342609,7.496682446070972
MEX,2002,6.860362150123836,7.708773479098501,4.8339539657304265,7.815310992521343,7.016932757614271,6.932113852075107
MAR,2002,5.936905000910161,6.961342561867874,4.660163790796952,6.990102542996143,5.394502335380662,5.694282270304126
MMR,2002,3.607233359346894,5.755755384926378,3.9627437974775885,2.55090700633096,1.7793828593281518,4.314274632100085
NAM,2002,6.519730856466059,5.664753895799586,6.389599014632648,6.410480551015503,6.339106613482195,7.83115973545406
NPL,2002,6.364257165261232,7.653909598921583,5.021325713254076,6.849021545442291,6.241561487804211,6.0277026540834875
NLD,2002,7.890193636819956,4.893536464867826,8.265498800395603,9.511245926332114,9.067648372081498,7.728677228356861
NZL,2002,8.419795617503821,6.1165062017116965,8.401750773810786,9.66385008853655,9.061355846372376,8.803397565610172
NIC,2002,7.339229874114036,8.153245201611412,4.06503814460918,9.18526076330785,8.349606731361776,6.9358864714473825
NER,2002,4.624610937593792,5.156119994637011,3.248200645668238,6.950032098342853,3.7912512687883493,4.057736299792447
NGA,2002,5.468385957246185,7.902597312162358,2.75138790974003,5.366246573019683,5.007984690776131,6.342483764577016
NOR,2002,7.690313268195849,5.212401407761977,8.534145840933128,9.04706997019645,8.242743035827369,7.43155880594198
OMN,2002,6.899868348312513,5.4087161009711116,4.609264228749776,8.505429235500896,7.949584743518929,8.007057195573916
PAK,2002,5.701396649053208,7.6794033213981585,3.067499940315476,6.135459229393743,5.483572553571787,6.140934415804357
PAN,2002,7.659861101999683,8.070674572450002,5.244717926578599,9.652063352074633,8.355201974531191,6.926346450956767
PNG,2002,5.521699806858403,6.270438029131311,3.555574225661543,6.283338110022409,5.09863483697957,6.308436421655839
PRY,2002,6.7435910202363605,8.274437910328054,3.8473327701689817,8.576836195015813,7.720593752824576,5.263107316286168
PER,2002,7.739862610486363,8.070795579312627,5.054352657308675,9.757591952788157,8.62821655749064,7.181108428234028
PHL,2002,7.0303773512002845,8.279877770525829,4.055875114170204,9.357034558911465,6.48204970957699,6.950199310524563
POL,2002,6.709430707842371,5.521698669507009,5.82015741879401,8.057435937746254,7.245518919588524,6.895162006377856
PRT,2002,7.619594091422012,6.094285508211861,7.065074385828088,9.613068494817018,8.936851736009112,6.45373421157983
ROU,2002,6.324899091173724,7.402295876414392,5.055340170783714,6.120462161411358,6.672623733285616,6.4151545639520045
RUS,2002,5.4762507442248145,6.66840934617118,4.858560896419681,3.3097754278700906,6.405746032894431,6.126077082976917
RWA,2002,5.9229115206271095,5.752913149501294,4.6426477950784255,8.011516088324083,4.770951665075388,6.581691377144303
SEN,2002,5.850889531099807,7.155102999837007,3.516026829447185,7.302439233371328,5.81660981296266,5.497128096881998
SLE,2002,5.019520135602838,6.2992463075688,3.5437826137161164,5.891127423151747,4.950661833168207,4.4539489434125885
SGP,2002,8.719489063449652,7.356701750405767,8.524802866924087,9.528534216212305,9.48494243375883,8.686212055341224
SVK,2002,6.778349926681639,5.821510314176429,5.791123826860839,8.052739131305053,7.232418524771105,7.047166433231513
SVN,2002,6.979987224082566,5.4524362915661095,6.081490315326867,8.74168801118169,7.970455310435552,6.629840248720227
ZAF,2002,6.989070607768383,6.693750507662168,5.941369845628432,7.697060029732489,7.264676579294873,7.437709102205752
ESP,2002,7.869660484176773,6.846099103893142,7.040452442195719,9.588705436461808,8.811711043634947,7.113373537933069
LKA,2002,6.532703121581338,8.199422451077426,4.3856322375364885,6.346483298801876,7.1885386096808555,6.544605180532674
SWE,2002,7.809682552586118,4.587655178006071,8.25012155410236,9.564835069838326,8.986149277474071,7.6510216359789505
CHE,2002,8.84942720763723,8.004381916734038,8.680508072530763,9.886135061725469,9.337418474183263,8.333121251865396
SYR,2002,5.084144725375045,5.647649787397473,3.4215385739719713,7.726057404548692,2.774149831787736,6.461878643133078
TWN,2002,7.235708972509926,6.805329262816081,5.7222876308871,9.73509786599683,7.789043264854157,6.034239627040637
TZA,2002,6.248321760604087,7.242858982496105,5.213810954828282,7.645668527283608,5.7296657281096595,5.458466226331406
