DATE,IP
1992-09-30,-0.4526715021039426
1992-10-31,-0.44584657467510835
1992-11-30,-0.44202743789572063
1992-12-31,-0.44057221375831584
1993-01-31,-0.43655956886990865
1993-02-28,-0.43187582078758935
1993-03-31,-0.43275408834583523
1993-04-30,-0.42984335761578807
1993-05-31,-0.43370410168045825
1993-06-30,-0.4314708449689656
1993-07-31,-0.42894153555159414
1993-08-31,-0.43002320474621225
1993-09-30,-0.424828371938609
1993-10-31,-0.4174840470565104
1993-11-30,-0.4128236156390637
1993-12-31,-0.40706338467196046
1994-01-31,-0.40388335973195827
1994-02-28,-0.40336531421920835
1994-03-31,-0.3932915079764758
1994-04-30,-0.3874714689860805
1994-05-31,-0.3827828075245182
1994-06-30,-0.3761111812210742
1994-07-31,-0.3749072904855953
1994-08-31,-0.36823579956240016
1994-09-30,-0.3652588230981132
1994-10-31,-0.35711789917177517
1994-11-30,-0.3504557518391071
1994-12-31,-0.34050214580848853
1995-01-31,-0.33860771513325755
1995-02-28,-0.339812208121414
1995-03-31,-0.3384267454297573
1995-04-30,-0.3402070021838375
1995-05-31,-0.3354111997200044
1995-06-30,-0.3320798970833523
1995-07-31,-0.3362296660438345
1995-08-31,-0.323240167852495
1995-09-30,-0.3193777829229299
1995-10-31,-0.32099345348483443
1995-11-30,-0.3185839896018025
1995-12-31,-0.31516016088045534
1996-01-31,-0.3203898541957887
1996-02-29,-0.30599676726872915
1996-03-31,-0.3076099875961553
1996-04-30,-0.29751155727379147
1996-05-31,-0.29015846952681545
1996-06-30,-0.2826560573856679
1996-07-31,-0.28268922415548614
1996-08-31,-0.2776419766507086
1996-09-30,-0.27140985272370133
1996-10-31,-0.2715554745257726
1996-11-30,-0.26274103543675936
1996-12-31,-0.2565310110198848
1997-01-31,-0.2547142009642653
1997-02-28,-0.24303253233876534
1997-03-31,-0.23665187933900236
1997-04-30,-0.2358185406804757
1997-05-31,-0.23015431941854245
1997-06-30,-0.22558653296534978
1997-07-31,-0.2171614796366622
1997-08-31,-0.2071939255394958
1997-09-30,-0.19798763143309175
1997-10-31,-0.1891564616303415
1997-11-30,-0.18113705858901757
1997-12-31,-0.1769448372911519
1998-01-31,-0.17238389928841985
1998-02-28,-0.17073138309949412
1998-03-31,-0.17029496701727634
1998-04-30,-0.16692509298295072
1998-05-31,-0.16035773714551052
1998-06-30,-0.1662801115303864
1998-07-31,-0.17025702679209637
1998-08-31,-0.14983965234070146
1998-09-30,-0.15088684526806717
1998-10-31,-0.14390847738132884
1998-11-30,-0.14489398882653384
1998-12-31,-0.14086334870048156
1999-01-31,-0.1366482449661291
1999-02-28,-0.13094502587066054
1999-03-31,-0.12873946370564437
1999-04-30,-0.12652400183589288
1999-05-31,-0.1204132416174552
1999-06-30,-0.1210857335638696
1999-07-31,-0.11514713768979239
1999-08-31,-0.11080196016724697
1999-09-30,-0.1150057708290907
1999-10-31,-0.10220771318910006
1999-11-30,-0.09691737064388783
1999-12-31,-0.08891209129405964
2000-01-31,-0.08965012816051833
2000-02-29,-0.08625856951120711
2000-03-31,-0.08236799238713767
2000-04-30,-0.07597648596966824
2000-05-31,-0.07324188577636637
2000-06-30,-0.07248897574366034
2000-07-31,-0.07423013346126442
2000-08-31,-0.07691128237411604
2000-09-30,-0.07294388074035033
2000-10-31,-0.07642974230035371
2000-11-30,-0.07621388033029326
2000-12-31,-0.07962887664674216
2001-01-31,-0.08457471170752898
2001-02-28,-0.09111250239262489
2001-03-31,-0.09373282448357664
2001-04-30,-0.09728983803525813
2001-05-31,-0.10250127385496562
2001-06-30,-0.10794496357924345
2001-07-31,-0.1139977090534899
2001-08-31,-0.11504503739692286
2001-09-30,-0.12027225619680591
2001-10-31,-0.12338193025564513
2001-11-30,-0.12922752470816692
2001-12-31,-0.12971696253600065
2002-01-31,-0.12254623670862524
2002-02-28,-0.12255075820438126
2002-03-31,-0.1151549919902745
2002-04-30,-0.11033732389313386
2002-05-31,-0.10609411801157763
2002-06-30,-0.09786754708221851
2002-07-31,-0.09821389149762316
2002-08-31,-0.09929561109557623
2002-09-30,-0.09829553153570837
2002-10-31,-0.10088056563612045
2002-11-30,-0.09542668659097704
2002-12-31,-0.10104760740967389
2003-01-31,-0.09282277595986518
2003-02-28,-0.09156500174707047
2003-03-31,-0.09424584640811468
2003-04-30,-0.1006151261829598
2003-05-31,-0.10084516963785554
2003-06-30,-0.09957948031219756
2003-07-31,-0.09442497171663698
2003-08-31,-0.09666730027586805
2003-09-30,-0.09011181474698704
2003-10-31,-0.08882574924067156
2003-11-30,-0.08200755338590736
2003-12-31,-0.08151161932954476
2004-01-31,-0.07983356287916703
2004-02-29,-0.07378325564906377
2004-03-31,-0.07761025182779256
2004-04-30,-0.0735432085857696
2004-05-31,-0.06631289440716107
2004-06-30,-0.0740545889632451
2004-07-31,-0.06666237491916399
2004-08-31,-0.06578943653944125
2004-09-30,-0.06462599162966982
2004-10-31,-0.05586055054664217
2004-11-30,-0.053400776727115296
2004-12-31,-0.04559796466409452
2005-01-31,-0.04204044486280938
2005-02-28,-0.03498903932781134
2005-03-31,-0.036279203637409704
2005-04-30,-0.03430163169702106
2005-05-31,-0.03324039098024632
2005-06-30,-0.028926362273868113
2005-07-31,-0.03212760880177034
2005-08-31,-0.028807994168478842
2005-09-30,-0.04842478093001859
2005-10-31,-0.036266760370927645
2005-11-30,-0.025368065657442086
2005-12-31,-0.02041905725009055
