CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2017 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),,
45,Denmark,Denmark,Europe,18,9,75.1,86.7,68.5,84.9,37.2,5.7,95.4,93.9,85.8,85.5,87.0,90,80,1.5,56.0,23.5,50.9,55.7,Denmark,5.6,$258.7 ,1.2,0.7,"$45,709",6.3,0.5,"3,641.5",45.6,,
46,Djibouti,Djibouti,Sub-Saharan Africa,171,43,46.7,12.3,10.3,32.6,80.9,39.5,13.8,51.6,59.0,75.3,54.9,80,50,17.6,30.0,25.0,19.6,53.9,Djibouti,1.0,$3.1 ,6.5,5.9,"$3,204",53.9,2.1,124.0,55.5,,
47,Dominica,Dominica,Americas,67,13,63.7,43.8,67.7,40.9,73.2,67.5,72.6,72.1,59.0,89.5,72.6,75,30,8.7,35.0,30.0,23.6,33.1,Dominica,0.1,$0.8 ,-4.3,-0.2,"$10,788",n/a,-0.8,36.0,82.4,,
48,Dominican Republic,DominicanRepublic,Americas,76,16,62.9,56.1,25.3,30.9,84.6,90.2,90.1,52.8,56.2,76.7,77.0,75,40,6.5,25.0,27.0,13.8,18.0,Dominican Republic,10.8,$149.7 ,7.0,4.9,"$14,984",14.4,0.8,"2,221.5",34.3,,
49,Ecuador,Ecuador,Americas,160,28,49.3,38.7,22.3,33.9,79.1,46.1,56.4,55.4,47.3,67.7,69.7,35,40,5.2,35.0,22.0,19.6,39.3,Ecuador,16.3,$183.4 ,0.0,4.4,"$11,264",4.3,4.0,"1,060.1",34.5,,
50,Egypt,Egypt,Middle East / North Africa,144,12,52.6,35.4,56.3,32.7,86.1,63.0,4.6,66.8,51.3,69.6,70.2,55,40,7.4,25.0,25.0,11.9,33.4,Egypt,88.4,"$1,047.9 ",4.2,2.5,"$11,850",12.1,11.0,"6,885.0",87.7,,
51,El Salvador,ElSalvador,Americas,66,12,64.1,45.3,35.4,31.7,79.0,85.9,74.7,57.3,54.5,79.2,86.5,80,60,1.8,30.0,30.0,17.3,21.7,El Salvador,6.4,$52.9 ,2.4,2.1,"$8,303",6.4,-0.7,428.7,58.9,,
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,174,44,45.0,35.4,13.1,24.6,75.4,53.6,46.4,50.9,38.5,78.3,53.8,40,30,15.6,35.0,35.0,2.8,38.2,Equatorial Guinea,0.8,$25.4 ,-12.2,-2.3,"$31,758",9.4,3.2,316.2,20.1,,
53,Eritrea,Eritrea,Sub-Saharan Africa,176,46,42.2,36.4,10.3,27.5,81.3,74.7,0.0,56.7,69.7,61.0,69.2,0,20,5.4,30.0,30.0,8.4,28.5,Eritrea,6.8,$8.7 ,4.8,5.7,"$1,297",8.4,9.0,49.3,127.1,,
54,Estonia,Estonia,Europe,6,2,79.1,82.6,82.8,69.9,81.2,55.8,99.8,77.0,56.9,85.7,87.0,90,80,1.5,20.0,20.0,32.9,38.9,Estonia,1.3,$37.5 ,1.1,3.7,"$28,592",5.9,0.1,207.7,10.1,,
55,Ethiopia,Ethiopia,Sub-Saharan Africa,142,31,52.7,32.6,29.6,37.6,77.1,90.3,86.5,50.0,57.2,65.7,65.1,20,20,10.0,35.0,30.0,12.7,18.6,Ethiopia,93.0,$161.6 ,10.2,10.1,"$1,801",5.5,10.1,"2,167.6",48.6,,
56,Fiji,Fiji,Asia-Pacific,71,16,63.4,67.7,41.9,32.7,80.7,72.5,84.1,61.3,70.5,75.5,68.8,55,50,10.6,29.0,20.0,26.3,31.4,Fiji,0.9,$8.0 ,4.3,3.7,"$9,044",7.7,2.8,332.4,46.1,,
57,Finland,Finland,Europe,24,13,74.0,90.6,82.7,90.0,66.6,0.0,77.3,90.2,53.4,85.1,87.0,85,80,1.5,31.8,20.0,43.9,58.5,Finland,5.5,$225.0 ,0.4,0.0,"$41,120",9.6,-0.2,"8,289.6",62.4,,
58,France,France,Europe,72,32,63.3,85.0,72.7,69.7,47.6,2.0,57.0,78.0,44.1,81.6,82.0,70,70,1.5,45.0,34.3,45.2,56.9,France,64.2,"$2,646.9 ",1.1,0.8,"$41,181",10.6,0.1,"42,882.6",96.8,,
59,Gabon,Gabon,Sub-Saharan Africa,103,13,58.6,35.9,26.7,37.6,77.0,81.0,96.1,50.6,58.4,83.0,61.8,55,40,14.1,35.0,30.0,13.1,23.7,Gabon,1.6,$34.6 ,4.0,5.3,"$18,639",20.5,0.1,623.9,43.9,,
60,Gambia,Gambia,Sub-Saharan Africa,136,28,53.4,39.1,38.8,38.2,74.9,74.3,3.2,52.8,65.6,63.8,65.0,75,50,12.5,35.0,32.0,16.1,28.2,Gambia,2.0,$3.3 ,4.4,2.1,"$1,646",30.1,6.8,10.6,91.6,,
61,Georgia,Georgia,Europe,13,5,76.0,55.1,66.5,65.0,87.3,74.4,93.5,87.2,75.9,78.2,88.6,80,60,0.7,20.0,15.0,25.3,29.1,Georgia,4.5,$35.6 ,2.8,4.9,"$9,630",12.3,4.0,"1,350.2",41.2,,
62,Germany,Germany,Europe,26,15,73.8,82.9,79.5,77.7,61.9,41.4,89.9,86.6,42.8,85.9,87.0,80,70,1.5,45.0,15.8,36.1,44.0,Germany,81.4,"$3,840.6 ",1.5,1.6,"$46,893",4.6,0.1,"31,719.3",71.0,,
63,Ghana,Ghana,Sub-Saharan Africa,118,19,56.2,51.6,40.9,35.5,84.5,76.3,9.2,59.6,57.4,64.5,65.1,70,60,10.0,25.0,25.0,17.2,24.4,Ghana,26.9,$114.7 ,3.5,7.6,"$4,266",6.3,17.2,"3,192.3",73.3,,
64,Greece,Greece,Europe,127,43,55.0,52.5,56.1,41.3,61.1,5.4,58.1,74.3,51.0,78.2,82.0,60,40,1.5,42.0,29.0,35.9,55.5,Greece,11.0,$286.0 ,-0.2,-3.8,"$26,449",24.9,-1.1,-289.5,178.4,,
65,Guatemala,Guatemala,Americas,74,15,63.0,45.0,27.8,27.5,79.2,94.8,93.5,58.7,48.2,79.4,87.0,65,50,1.5,31.0,31.0,12.5,12.2,Guatemala,16.3,$125.9 ,4.0,3.8,"$7,738",2.7,2.4,"1,208.4",24.3,,
66,Guinea,Guinea,Sub-Saharan Africa,169,42,47.6,15.6,13.1,27.5,69.1,78.4,34.2,55.8,54.8,71.1,61.2,50,40,11.9,40.0,35.0,16.2,28.5,Guinea,11.7,$15.0 ,0.1,2.2,"$1,214",1.8,8.2,85.0,48.4,,
67,Guinea-Bissau,GuineaBissau,Sub-Saharan Africa,119,20,56.1,33.8,48.7,28.7,89.0,87.5,75.3,46.7,60.9,77.7,65.2,30,30,9.9,20.0,25.0,8.7,25.5,Guinea-Bissau,1.8,$2.7 ,4.8,3.1,"$1,508",7.6,1.5,18.3,57.7,,
68,Guyana,Guyana,Americas,106,23,58.5,37.7,34.1,33.9,68.0,72.8,80.9,63.2,70.9,79.8,70.7,60,30,7.1,33.3,40.0,22.1,29.6,Guyana,0.8,$5.8 ,3.0,4.5,"$7,509",11.2,-0.3,121.7,48.8,,
69,Haiti,Haiti,Americas,159,27,49.6,12.6,25.1,19.1,80.3,81.0,51.8,49.4,62.1,73.8,70.6,40,30,7.2,30.0,30.0,13.2,22.0,Haiti,10.6,$18.7 ,1.0,3.3,"$1,750",6.9,7.5,104.2,30.4,,
70,Honduras,Honduras,Americas,100,21,58.8,45.0,38.2,32.2,83.3,74.7,64.1,56.9,31.2,77.3,78.4,65,60,5.8,25.0,25.0,20.6,28.0,Honduras,8.4,$41.1 ,3.6,3.5,"$4,869",3.9,3.2,"1,203.5",47.4,,
71,Hong Kong SAR,HongKong,Asia-Pacific,1,1,89.8,93.7,84.0,80.3,93.0,90.0,100.0,94.6,89.1,83.2,90.0,90,90,0.0,15.0,16.5,14.4,17.6,Hong Kong SAR,7.3,$414.6 ,2.4,2.9,"$56,701",3.3,3.0,"174,892.1",0.1,,
72,Hungary,Hungary,Europe,56,27,65.8,60.1,51.8,41.5,79.3,25.3,79.3,64.0,64.4,91.7,87.0,75,70,1.5,15.0,19.0,38.5,50.2,Hungary,9.9,$258.4 ,2.9,1.7,"$26,222",7.0,-0.1,"1,269.9",75.5,,
