State,Year,EFW,GDP,Population,GDP Per Capita,Log GDP,GDP % Growth,Log Population,Population % Growth,Log GDP Per Capita,GDP Per Capita % Growth,T01,T09,T10,T11,T12,T13,T14,T15,T16,T19,T20,T21,T22,T23,T24,T25,T27,T28,T29,T40,T41,T50,T51,T53,T99,TotalTax,TotalTax/GDP
IL,1995,8.35,,,,,,,,,,204.886,4958.866,56.78,272.187,140.198,1133.329,44.387,765.217,423.737,634.923,4.266,0.798,102.196,18.819,730.669,42.794,0.0,46.402,3.202,5312.159,1481.46,179.513,33.001,0.0,0.0,16879.045,
IN,1995,8.5,,,,,,,,,,3.174,2709.816,32.122,0.0,135.699,605.426,1.643,4.334,86.844,0.0,7.607,4.24,4.33,14.644,156.784,0.0,0.0,40.297,0.494,3257.299,874.305,106.055,0.0,0.64,0.0,8168.105,
IA,1995,8.4,,,,,,,,,,0.0,1462.892,12.429,26.321,102.058,362.278,2.177,0.0,98.324,0.0,8.452,3.182,31.463,16.704,260.191,10.277,8.164,60.767,3.185,1617.498,220.675,89.224,7.167,0.0,0.0,4463.3550000000005,
KS,1995,8.39,,,,,,,,,,38.038,1379.07,59.124,1.076,95.818,286.115,6.403,0.871,54.952,11.503,2.084,0.261,17.962,11.704,123.211,9.201,3.55,29.06,2.02,1232.989,261.408,56.604,0.0,82.464,0.0,3821.0829999999996,
KY,1995,8.38,,,,,,,,,,398.618,1680.525,58.557,0.293,270.449,397.014,20.632,0.0,18.191,481.26,2.42,0.471,97.666,16.029,162.329,9.282,4.34,78.278,2.546,1964.843,340.912,79.512,3.77,196.686,0.0,6356.420999999999,
LA,1995,8.42,,,,,,,,,,36.691,1490.235,53.805,1.556,232.394,487.944,4.509,18.122,88.863,29.335,0.0,2.238,271.139,14.497,88.115,13.472,5.516,48.853,1.244,1061.606,283.076,61.232,0.0,382.527,0.0,4757.322,
ME,1995,8.32,,,,,,,,,,42.081,650.21,32.688,0.0,38.923,153.57,2.775,0.553,46.186,0.0,3.062,0.648,2.442,11.392,56.249,10.127,0.0,30.425,0.665,640.472,63.29,17.124,9.692,0.0,0.0,1837.9789999999998,
MD,1995,8.38,,,,,,,,,,239.994,1951.031,23.393,3.514,156.454,599.334,3.189,142.267,137.243,481.442,0.504,0.016,14.437,10.174,190.977,20.625,0.0,117.667,2.734,3400.487,365.759,92.218,71.737,0.0,35.786,8190.4169999999995,
MA,1995,8.36,,,,,,,,,,0.173,2481.3,61.333,8.193,292.623,577.501,12.686,0.0,234.163,68.825,1.209,0.993,18.822,4.442,250.921,63.952,0.0,55.156,33.554,5974.201,1205.667,209.281,46.14,0.0,0.0,11761.916000000001,
MI,1995,8.36,,,,,,,,,,1488.087,5865.988,123.386,0.0,213.638,817.536,14.753,0.0,619.401,12.433,11.609,0.71,20.318,38.587,591.029,36.853,18.168,115.168,21.017,5473.072,2130.395,73.372,0.0,27.198,10.776,17943.604000000003,
