DATE,PPI: Lumber and Wood Products Annual % Change,PPI: Copper and Copper Products Annual % Change,PPI: Gas and Oil Extraction Annual % Change
2020-03-31,4.028103044496478,-9.412981639513829,-45.2027027027027
2020-04-30,-3.8099717779868314,-14.31829700963,-63.33109469442579
2020-05-31,0.0948766603415585,-10.41124414367517,-49.9648629655657
2020-06-30,9.48443579766538,-3.018867924528301,-32.06521739130436
2020-07-31,14.864221057646487,2.62242440460263,-32.50000000000001
2020-08-31,29.34418382000956,8.353943391041497,-22.623723487824034
2020-09-30,52.67899478425795,9.78676872607982,-20.960365853658523
2020-10-31,44.43911792905082,9.143486642798116,-20.06369426751592
2020-11-30,26.836293807009113,12.86374762034268,-13.521330441070145
2020-12-31,38.8095238095238,19.274193548387085,-6.9784172661870425
2021-01-31,57.395038167938914,21.741438810724723,7.480916030534357
2021-02-28,59.80483271375465,28.79755623437934,69.29274843330349
2021-03-31,65.28590724898694,43.3342848986583,131.07274969173864
2021-04-30,89.73105134474328,48.210588583259394,177.47252747252747
2021-05-31,114.26540284360192,63.567693201626966,135.1123595505618
2021-06-30,97.46779209240337,55.86436909394106,104.80000000000001
