DATE,1 M (%),3 M (%),6 M (%),1 Y (%),2 Y (%),3 Y (%),5 Y (%),7 Y (%),10 Y (%),20 Y (%),30 Y (%),Federal Funds Target (Pre-Crisis),Federal Funds (Upper) Target,Effective Federal Funds Rate,Interest on Excess Reserves
2012-09-30,0.07526315789473684,0.10526315789473684,0.13736842105263158,0.17578947368421052,0.25526315789473686,0.33842105263157896,0.6689473684210526,1.118421052631579,1.7231578947368422,2.488421052631579,2.8815789473684212,,0.25,0.14433333333333334,0.25
2012-10-31,0.10952380952380951,0.10476190476190476,0.14904761904761904,0.17952380952380953,0.27714285714285714,0.36904761904761907,0.7085714285714286,1.1457142857142857,1.7461904761904763,2.505714285714286,2.9004761904761907,,0.25,0.15838709677419355,0.25
2012-11-30,0.12450000000000001,0.0935,0.14450000000000002,0.1785,0.268,0.355,0.665,1.0765,1.654,2.3895,2.8035,,0.25,0.16066666666666668,0.25
2012-12-31,0.0395,0.06999999999999999,0.11950000000000001,0.1585,0.257,0.354,0.696,1.1345,1.719,2.4675000000000002,2.8835,,0.25,0.16451612903225807,0.25
2013-01-31,0.05190476190476191,0.07428571428571429,0.10761904761904763,0.14523809523809525,0.2652380952380953,0.3904761904761904,0.8052380952380952,1.2985714285714285,1.9147619047619049,2.6814285714285715,3.0804761904761904,,0.25,0.14258064516129032,0.25
2013-02-28,0.07684210526315789,0.09894736842105263,0.12421052631578947,0.1573684210526316,0.2673684210526316,0.39842105263157895,0.8463157894736841,1.348421052631579,1.9842105263157896,2.782631578947368,3.165263157894737,,0.25,0.14500000000000002,0.25
2013-03-31,0.078,0.087,0.1145,0.14750000000000002,0.256,0.386,0.8185,1.3175000000000001,1.9575,2.784,3.1625,,0.25,0.1435483870967742,0.25
2013-04-30,0.049090909090909095,0.060000000000000005,0.09409090909090909,0.12454545454545456,0.2322727272727273,0.34045454545454545,0.7104545454545454,1.1522727272727271,1.7590909090909093,2.5500000000000003,2.9327272727272726,,0.25,0.145,0.25
2013-05-31,0.020454545454545454,0.04409090909090909,0.08090909090909092,0.11863636363636364,0.25045454545454543,0.39590909090909093,0.8409090909090909,1.3109090909090908,1.9281818181818182,2.7286363636363635,3.112727272727273,,0.25,0.10903225806451612,0.25
2013-06-30,0.0345,0.0505,0.0875,0.14200000000000002,0.3335,0.577,1.2035,1.714,2.3,3.0740000000000003,3.4,,0.25,0.09366666666666666,0.25
